"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"89","2q31.3",0.241220133982679,0.573775478064079,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"90","2q32.1",0.254692120754736,0.595045805724137,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"91","2q32.3",0.248268588167383,0.572789828547099,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"92","2q33.1",0.347176228362245,0.741852030031889,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"93","2q33.2",0.208197853653107,0.425401304132638,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"94","2q34",0.217179116153328,0.48713147902478,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"95","2q35",0.329761114218351,0.812865672420587,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"96","2q36.1",0.31715290777713,0.863994621285146,0.389887686411973,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"97","2q36.3",0.307109664857795,0.861156788675824,0.391440185274825,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"98","2q37.1",0.308140188292201,0.9408293484129,0.349310732764,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"99","2q37.3",0.244072828794863,0.802601949728457,0.42431921326357,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"100","3p26.2",-0.0351051040721658,-0.16987410516823,0.865490413339833,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"101","3p26.1",-0.0347633968932538,-0.168871147826148,0.866276949373934,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"102","3p25.3",-0.0164270714077659,-0.0812858660727368,0.935395108255731,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"103","3p25.2",0.00496164836682016,0.0248536956470762,0.980226685106919,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"104","3p25.1",0.0811450533534449,0.410981229954801,0.682063221720211,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"105","3p24.3",0.167526403438524,0.881587134550209,0.380348499902292,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"106","3p24.2",0.164809909139692,0.872680168495242,0.385159769568953,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"107","3p24.1",0.182442596415815,0.979074550701708,0.330167657213007,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"108","3p23",0.194920439698284,1.05105025837639,0.296049487990547,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"109","3p22.3",0.208673947897249,1.1240215978329,0.263992981063184,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"110","3p22.2",0.222269159947854,1.18753340921837,0.238142019435162,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"111","3p22.1",0.219986404413929,1.1423808117419,0.256325806842387,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"112","3p21.33",0.215688190099594,1.07943607754415,0.283277725278371,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"113","3p21.31",0.145909202487369,0.647543899665796,0.518928385053008,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"114","3p21.2",0.102973457601586,0.381844238778822,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"115","3p21.1",0.0475181165019308,0.156187190247154,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"116","3p14.3",0.0197884126062928,0.0594798635625584,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"117","3p14.1",-0.00844346601506487,-0.0241530012585351,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"118","3p13",-0.0372548276065077,-0.10646035937751,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"119","3p11.2",-0.0778715178112123,-0.217694314446672,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"120","3p11.1",-0.104404073494206,-0.287727396192422,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"121","3q11.2",-0.108512879396575,-0.291475943349353,1,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"122","3q12.2",0.158921438095023,0.446457633353931,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"123","3q12.3",0.162865106818203,0.455710639006446,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"124","3q13.12",0.110382895032518,0.315663893631529,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"125","3q13.13",0.107188823676615,0.310184537049266,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"126","3q13.2",0.111646482829422,0.325131563206038,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
