,TumorType,Arm_1p,Arm_1q,Arm_2p,Arm_2q,Arm_3p,Arm_3q,Arm_4p,Arm_4q,Arm_5p,Arm_5q,Arm_6p,Arm_6q,Arm_7p,Arm_7q,Arm_8p,Arm_8q,Arm_9p,Arm_9q,Arm_10p,Arm_10q,Arm_11p,Arm_11q,Arm_12p,Arm_12q,Arm_13q,Arm_14q,Arm_15q,Arm_16p,Arm_16q,Arm_17p,Arm_17q,Arm_18p,Arm_18q,Arm_19p,Arm_19q,Arm_20p,Arm_20q,Arm_21p,Arm_21q,Arm_22q
11CO037,CO,0,0,0,0,0,0,0,0,-0.0910405787275423,-0.666669212720301,0,0,0.845826929045461,0,2.0051643213509,2.0051643213509,0,0,0,0,0.624802941999888,0.624802941999888,0,0,0.826966474570135,0,-0.535727718211448,0.431811992638211,0.431811992638211,-3.20154731231818,-0.652183280656855,0,-0.802548512965206,0,0,2.40940550456666,2.40940550456666,0.710682228822608,0.710682228822608,-3.32192809488736
11CO039,CO,0,0,0,0,0,0,0,0,0,0,0,0,0.183065152283893,0.183065152283893,-0.438962203072066,1.337250233831,0.802020645557573,0.802020645557573,0,0,0,0,0.811706319150514,0,0,-0.373467992665481,0,0,0,0,0,-1.14208660894149,-1.14208660894149,0,0,1.18029266043938,1.18029266043938,0,0,0
11CO042,CO,0,0,0,0,0,0,0,0,0,0,0,0,0.748081567133318,0.748081567133318,0,1.29951585517027,0,0,0,0,0,0,0,0,0.874321971753284,0,-1.2798103023529,0.578720140104102,0.578720140104102,-1.28641759176162,0,-1.36396687380203,-1.36396687380203,-0.279887200260684,-0.279887200260684,0.262859236736086,0.262859236736086,0,0,0
11CO043,CO,-0.327578073441772,0,0.356300620203274,0,0,0,0,0,0.32734141018869,-0.427959438052315,0.641340975196237,-0.254542106228062,0.901931002925753,0.901931002925753,-1.36293953870104,-1.36293953870104,0.486243629855436,0.486243629855436,0,0,0.402089106354602,0.402089106354602,0,0,0.814004029465362,0,-0.46041370561782,0,0,-0.998347614517349,0,-0.472845623985561,-0.472845623985561,0,0,1.61376276345936,1.61376276345936,-0.45886239456411,-0.45886239456411,-0.510373691604799
11CO044,CO,-0.670134730636476,0,0,0,0,0.433716575615998,0,0,0,0,0,0,0.433716575615998,0.433716575615998,-0.565424773611585,0.153296171237709,0,0,0,0,0.575427548883731,0,-0.668161625141245,0,1.04124223382165,0,-0.687952959271407,0,0,0,0,-0.75221132862183,-0.75221132862183,0,0,0.631538877190633,0.631538877190633,-0.699892722013507,-0.699892722013507,-0.689939510709273
11CO045,CO,0,0,0.245677511782947,0.245677511782947,0.233471805189264,0.233471805189264,0,0,0.319714303567207,0.319714303567207,0.524971291256454,0.524971291256454,0.621964494540546,0.621964494540546,0,0,0,0,0,0,0,0,0.338402728070968,0.338402728070968,1.13219469600528,-0.277291116534124,0,0.458368578212017,0.458368578212017,0.314600093782133,0.314600093782133,-0.552959125619128,-0.552959125619128,0.256104682422786,0.256104682422786,1.83099564284672,1.83099564284672,-0.279355956508691,-0.279355956508691,0
11CO047,CO,0.0587921864205785,0.741736978838764,0,0,0,0,0,0,0,0,0,0,0.570936292463351,0.570936292463351,1.0558792787778,1.0558792787778,0,0,0,0,0.696929828889971,0.696929828889971,0.713305467954647,0,1.21925730310476,0,0,0,0,-0.354324405339184,0.640944230570786,-1.27242183255951,-1.27242183255951,0,0,2.0735097103183,2.0735097103183,0,0,0
11CO048,CO,0,0,-0.677604630155963,-0.677604630155963,0,0,0,-0.677604630155963,1.03230161371911,0,-0.452515411069699,-0.452515411069699,0.977840657294104,0.459945938892672,-0.78442112015343,0,0.5220195290814,0.5220195290814,0,0,0,0,0,0,1.60828603906303,0,-0.750441296044756,0.474080108089695,0.474080108089695,-0.275321646093345,-0.275321646093345,-0.879114728990733,-0.879114728990733,0,0,1.25662488245263,1.25662488245263,-0.34397040811488,-0.34397040811488,-0.801625706696768
11CO051,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803417675158272,0.803417675158272,0,0,0,0,0,-0.244541840516508,-0.244541840516508,0,0,-0.408049950031977,-0.408049950031977,0,0,0,0,-0.262439823749902
11CO052,CO,0,0,0,0,0,0,0,0,0,0,0,0,0.837337073820469,0.837337073820469,0,0,0,0,0,0,0,0,0.795273232098157,0.795273232098157,0.481291294952826,0,0,0,0,0,0,0,0,0.393666983324869,0.393666983324869,1.32721125613991,1.32721125613991,0,0,0
