"","Arm","Coefficients","T_val","P_val","Event","-signedlog(P.adj)","cnv_status","TumorType"
"1772","Arm6q",5.50388122123127,0.331553446209775,0.740395883506332,"ALL",0.0618201921572571,-1,"STAD"
"1773","Arm7p",3.73402644907951,0.276241234552471,0.782501979170331,"ALL",0.0563536442439038,1,"STAD"
"1774","Arm7q",12.1508444630432,0.86591917811985,0.38704090147741,"ALL",0.18198305710349,1,"STAD"
"1775","Arm8p",-6.25194323839661,-0.699879359477297,0.484399556649734,"ALL",-0.133376170459282,1,"STAD"
"1776","Arm8q",-18.719851731785,-1.94934274869756,0.0519359850123101,"ALL",-0.630747053834932,1,"STAD"
"1777","Arm9p",17.1425265638993,1.3627421705682,0.173711792062512,"ALL",0.402659347761151,-1,"STAD"
"1778","Arm9q",0.274782963817543,0.0176940372271633,0.985891544635745,"ALL",0.00617085803738335,-1,"STAD"
"1779","Arm10p",23.3323780452429,1.54204852248366,0.123833239189158,"ALL",0.498498892731356,1,"STAD"
"1780","Arm10q",28.488151286813,1.60530756148339,0.109196058057722,"ALL",0.525100441574183,-1,"STAD"
"1781","Arm11p",5.23055128724925,0.263083296139565,0.792618533577583,"ALL",0.0563536442439038,-1,"STAD"
"1782","Arm11q",10.0804790473699,0.53881755353935,0.590305181301246,"ALL",0.107501241932196,1,"STAD"
"1783","Arm12p",18.7799989793648,1.93286740030432,0.0539408579862303,"ALL",0.630747053834932,1,"STAD"
"1784","Arm12q",28.9288231026966,2.20427990086432,0.0280595749275423,"ALL",0.630747053834932,1,"STAD"
"1785","Arm13q",-10.4454312868818,-0.812340676392807,0.417067582009053,"ALL",-0.18198305710349,1,"STAD"
"1786","Arm14q",-14.2030156944626,-0.648982785455519,0.516712857009092,"ALL",-0.124704932349375,-1,"STAD"
"1787","Arm15q",-38.4122729919898,-1.87465808142904,0.0615505105988348,"ALL",-0.630747053834932,-1,"STAD"
"1788","Arm16p",21.4452431518844,1.21495350373839,0.225083035290588,"ALL",0.35709267494317,-1,"STAD"
"1789","Arm16q",36.2690313407662,2.08201170491272,0.0379610333502865,"ALL",0.630747053834932,-1,"STAD"
"1790","Arm17p",0.99736252767505,0.073405414162524,0.941519307013934,"ALL",0.0154469044205552,-1,"STAD"
"1791","Arm17q",-32.9693636144543,-2.10677145665,0.0357443897848052,"ALL",-0.630747053834932,-1,"STAD"
"1792","Arm18p",-2.48943994552543,-0.202306155880295,0.8397777341762,"ALL",-0.0428353843041369,-1,"STAD"
