"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"132","3q22.2",0.218650872960576,0.891521456269681,0.375000730704894,"con","ALL","3","q","3q",0.0297360481222584,-1,"LUAD","B_cell"
"133","3q22.3",0.286607096967442,1.20966685688253,0.229539916656082,"con","ALL","3","q","3q",0.117951444021698,-1,"LUAD","B_cell"
"134","3q23",0.334781797540775,1.5365226507985,0.127880083315794,"con","ALL","3","q","3q",0.232670803941469,-1,"LUAD","B_cell"
"135","3q24",0.336929271248785,1.72361079229434,0.0881741582390648,"con","ALL","3","q","3q",0.232704900145023,-1,"LUAD","B_cell"
"136","3q25.1",0.368256628503053,2.12237177092676,0.0365226786237272,"con","ALL","3","q","3q",0.313834889072208,-1,"LUAD","B_cell"
"137","3q25.2",0.371999082814504,2.37401913190077,0.0196974255673249,"con","ALL","3","q","3q",0.341256355000125,-1,"LUAD","B_cell"
"138","3q25.31",0.373687329237161,2.51558906088621,0.0136371501001273,"con","ALL","3","q","3q",0.381430323479086,-1,"LUAD","B_cell"
"139","3q25.32",0.374042409143857,2.57221768264118,0.0117245969791932,"con","ALL","3","q","3q",0.401658479951559,-1,"LUAD","B_cell"
"140","3q25.33",0.370299053131722,2.72543671687302,0.00770183722122831,"con","ALL","3","q","3q",0.401658479951559,-1,"LUAD","B_cell"
"141","3q26.1",0.369296742899348,2.83913456089094,0.00557917501336188,"con","ALL","3","q","3q",0.452560258019406,-1,"LUAD","B_cell"
"142","3q26.2",0.36035942206621,2.94055776342337,0.00415353071424578,"con","ALL","3","q","3q",0.529560294292514,-1,"LUAD","B_cell"
"143","3q26.31",0.357820803206415,2.97663436042775,0.00373340295692349,"con","ALL","3","q","3q",0.529560294292514,-1,"LUAD","B_cell"
"144","3q26.32",0.347174300902272,3.08437457534364,0.00270116452404711,"con","ALL","3","q","3q",0.591487946743091,-1,"LUAD","B_cell"
"145","3q26.33",0.316894416701845,3.25385649464636,0.0015986953301749,"con","ALL","3","q","3q",0.740092031562492,-1,"LUAD","B_cell"
"146","3q27.1",0.292729398912287,3.40739243645561,0.000978443922667387,"con","ALL","3","q","3q",0.856411784845872,-1,"LUAD","B_cell"
"147","3q27.2",0.282178814254768,3.43390476202648,0.000897570416156275,"con","ALL","3","q","3q",0.856411784845872,-1,"LUAD","B_cell"
"148","3q27.3",0.281454986384107,3.46666347111536,0.000806332364446272,"con","ALL","3","q","3q",0.856411784845872,-1,"LUAD","B_cell"
"149","3q29",0.257720929092089,3.48398718634996,0.000761692032186058,"con","ALL","3","q","3q",0.856411784845872,-1,"LUAD","B_cell"
"150","4p16.3",-0.415562504519961,-1.86001259242488,0.0661140617656681,"con","ALL","4","p","4p",-0.232704900145023,-1,"LUAD","B_cell"
"151","4p16.1",-0.498556357357085,-2.16640719423801,0.0328932179643074,"con","ALL","4","p","4p",-0.313834889072208,1,"LUAD","B_cell"
"152","4p15.32",-0.548291816897045,-2.33711871670113,0.0216269433558645,"con","ALL","4","p","4p",-0.341256355000125,1,"LUAD","B_cell"
"153","4p15.2",-0.579325616436276,-2.45625071481915,0.015937484832757,"con","ALL","4","p","4p",-0.347468738009087,1,"LUAD","B_cell"
"154","4p14",-0.604674746647932,-2.38162195568587,0.0193194081244593,"con","ALL","4","p","4p",-0.341256355000125,1,"LUAD","B_cell"
"155","4p13",-0.567772025285609,-2.09770653340113,0.0387034253048584,"con","ALL","4","p","4p",-0.310913425055388,1,"LUAD","B_cell"
"156","4p12",-0.582861237673948,-2.12042420132048,0.0366909151249469,"con","ALL","4","p","4p",-0.313834889072208,1,"LUAD","B_cell"
"157","4p11",-0.598435991532115,-2.16821320005047,0.0327513126209936,"con","ALL","4","p","4p",-0.313834889072208,1,"LUAD","B_cell"
"158","4q12",-0.646396595880495,-2.29432482149155,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"159","4q13.2",-0.691489093154304,-2.36235130579774,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"160","4q21.1",-0.810093629004589,-2.40263565973282,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"161","4q21.22",-0.878505765799869,-2.52545404106665,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"162","4q21.23",-0.892390439980984,-2.54982945023633,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"163","4q22.1",-0.814384592708219,-2.3143759156231,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"164","4q22.3",-0.764605104529637,-2.16538523874465,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"165","4q23",-0.474006921091677,-1.41517342921439,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"166","4q24",-0.570699361886065,-1.75150159954808,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"167","4q25",-0.64689892908289,-2.04178153898897,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"168","4q27",-0.648715902169341,-2.03090211991711,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"169","4q31.1",-0.657720989305728,-2.0910078051495,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"170","4q31.21",-0.692548433271441,-2.22988758694721,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"171","4q31.22",-0.712545067504245,-2.30711241605069,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"172","4q32.1",-0.783161742622094,-2.47822599548824,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"173","4q32.2",-0.782883228694386,-2.46313707374552,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"174","4q34.1",-0.789024376221403,-2.55118907490509,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"175","4q34.2",-0.786210795909173,-2.56394025458,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"176","4q35.1",-0.842329417610736,-2.81590334865768,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"177","5p15.33",-0.164442054388774,-1.46663471827569,0.14592281699352,"con","ALL","5","p","5p",-0.21597139726463,1,"LUAD","B_cell"
"178","5p15.31",-0.185724338446836,-1.52178710589952,0.131529845287354,"con","ALL","5","p","5p",-0.228227981428245,1,"LUAD","B_cell"
"179","5p15.2",-0.193760239258137,-1.52004610883178,0.131966431506186,"con","ALL","5","p","5p",-0.228227981428245,1,"LUAD","B_cell"
