"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType"
"25886","2q21.1",-70.9690263495585,-4.02479242287183,6.60509004099537e-05,"con","ALL","2","q","2q",-2.55253981682764,1,"LUSC"
"25887","2q21.2",-57.896835835536,-3.30880569924605,0.00100591053576929,"con","ALL","2","q","2q",-1.6931655926096,1,"LUSC"
"25888","2q21.3",-46.2280440643224,-2.86729813893374,0.00431827721899727,"con","ALL","2","q","2q",-1.22178243260719,1,"LUSC"
"25889","2q22.1",-41.5297364782215,-2.85310398527148,0.00451258796138036,"con","ALL","2","q","2q",-1.21009128937879,1,"LUSC"
"25890","2q22.2",-38.8855703134421,-2.46668512161926,0.013978099187208,"con","ALL","2","q","2q",-0.916699788889458,1,"LUSC"
"25891","2q22.3",-38.0947518950065,-2.24005219387682,0.0255350812680786,"con","ALL","2","q","2q",-0.754713575559502,1,"LUSC"
"25892","2q23.1",-37.3614836026719,-2.16618822896337,0.0307782786482111,"con","ALL","2","q","2q",-0.720553438878179,1,"LUSC"
"25893","2q23.2",-34.646356185692,-1.99139448606406,0.0469922717221021,"con","ALL","2","q","2q",-0.646947799525917,1,"LUSC"
"25894","2q23.3",-47.8451876623252,-2.66861325773333,0.00786903623925482,"con","ALL","2","q","2q",-1.07855700510568,1,"LUSC"
"25895","2q24.1",-42.6407476911329,-2.57836220789134,0.0102177639523577,"con","ALL","2","q","2q",-1.01372801838471,1,"LUSC"
"25896","2q24.2",-44.9354357179449,-2.80727357744576,0.00519544787800516,"con","ALL","2","q","2q",-1.18005144789924,1,"LUSC"
"25897","2q24.3",-48.4898242916843,-2.95714775557096,0.00325488928226485,"con","ALL","2","q","2q",-1.29439773154758,1,"LUSC"
"25898","2q31.1",-38.1390910698287,-2.43558724380685,0.0152231498554535,"con","ALL","2","q","2q",-0.88888404092383,1,"LUSC"
"25899","2q31.2",-18.501337070617,-1.48591692035866,0.137944189099454,"con","ALL","2","q","2q",-0.407626384954831,1,"LUSC"
"25900","2q31.3",-22.5919206448582,-1.66242445059091,0.0970672086481448,"con","ALL","2","q","2q",-0.481340763363606,1,"LUSC"
"25901","2q32.1",-23.3479496248302,-1.63593120917536,0.102496111636044,"con","ALL","2","q","2q",-0.468074447705038,1,"LUSC"
"25902","2q32.2",-24.1232272115181,-1.73261087344047,0.0837940601296857,"con","ALL","2","q","2q",-0.508908217707781,1,"LUSC"
"25903","2q32.3",-24.1179397446245,-1.72570415041618,0.0850310808547094,"con","ALL","2","q","2q",-0.505267704481721,1,"LUSC"
"25904","2q33.1",-16.8290822322891,-1.27396880139763,0.203278387911698,"con","ALL","2","q","2q",-0.301447593999606,1,"LUSC"
"25905","2q33.2",-2.73953547589421,-0.221010881904244,0.825176023445777,"con","ALL","2","q","2q",-0.0340098357001614,1,"LUSC"
"25906","2q33.3",-1.78609936723287,-0.129848217903448,0.896739798789443,"con","ALL","2","q","2q",-0.0216464618585028,-1,"LUSC"
"25907","2q34",-2.42818574167373,-0.162214828429606,0.87120355247552,"con","ALL","2","q","2q",-0.0252268293217544,-1,"LUSC"
"25908","2q35",-3.33180846367356,-0.242741026717248,0.808307596601919,"con","ALL","2","q","2q",-0.0347522195279765,-1,"LUSC"
"25909","2q36.1",-2.0319181670411,-0.142423356325627,0.886804156963463,"con","ALL","2","q","2q",-0.0232742215131998,-1,"LUSC"
"25910","2q36.2",9.11926961840002,0.623414170982664,0.533302458529509,"con","ALL","2","q","2q",0.106263716855734,-1,"LUSC"
"25911","2q36.3",3.29181717968072,0.223352560869581,0.823354205416565,"con","ALL","2","q","2q",0.0340940494219628,-1,"LUSC"
"25912","2q37.1",11.1527427746354,0.787314190445617,0.431478613645816,"con","ALL","2","q","2q",0.138891499750385,-1,"LUSC"
"25913","2q37.2",0.322636803583862,0.0241285543750339,0.980759889543334,"con","ALL","2","q","2q",0.00307811576699409,-1,"LUSC"
"25914","2q37.3",10.4380611340881,0.762888991050414,0.445896709049358,"con","ALL","2","q","2q",0.137277610430848,-1,"LUSC"
"25915","3p26.3",21.8562861715856,1.82178944405243,0.0690964385861951,"con","ALL","3","p","3p",0.55165247304899,-1,"LUSC"
"25916","3p26.2",17.2892874479169,1.41280150410469,0.158348945051978,"con","ALL","3","p","3p",0.367140954718225,-1,"LUSC"
"25917","3p26.1",15.7625421011692,1.27760979069622,0.201992016229939,"con","ALL","3","p","3p",0.302878506635325,-1,"LUSC"
"25918","3p25.3",13.2156051057004,1.02888728321473,0.304040249758948,"con","ALL","3","p","3p",0.209695455430024,-1,"LUSC"
"25919","3p25.2",11.4744388323533,0.8587816825151,0.390880877426437,"con","ALL","3","p","3p",0.155797075563668,-1,"LUSC"
"25920","3p25.1",11.0657802072202,0.811715085409515,0.417349266487126,"con","ALL","3","p","3p",0.140262929828354,-1,"LUSC"
"25921","3p24.3",9.42669381936446,0.673877388172828,0.500707022120527,"con","ALL","3","p","3p",0.113412563013178,-1,"LUSC"
"25922","3p24.2",9.89456433542868,0.707946124228448,0.47931531805323,"con","ALL","3","p","3p",0.118907361996766,-1,"LUSC"
"25923","3p24.1",6.54252882593809,0.472382620954456,0.636864020055096,"con","ALL","3","p","3p",0.0799034083290166,-1,"LUSC"
"25924","3p23",5.51501596222243,0.41694117971926,0.67690402767437,"con","ALL","3","p","3p",0.0693178339604715,-1,"LUSC"
"25925","3p22.3",3.44735826211802,0.258248330583844,0.796323693261127,"con","ALL","3","p","3p",0.0382933385472235,-1,"LUSC"
"25926","3p22.2",3.59648509199355,0.264936712279306,0.791169627385842,"con","ALL","3","p","3p",0.038317371542297,-1,"LUSC"
"25927","3p22.1",8.2690872070012,0.556851826097775,0.577882911048179,"con","ALL","3","p","3p",0.0918222404279433,-1,"LUSC"
"25928","3p21.33",8.25104608975093,0.543038186734294,0.58735043815609,"con","ALL","3","p","3p",0.0904362158870528,-1,"LUSC"
"25929","3p21.31",6.92523805139254,0.437667611783158,0.6618200996855,"con","ALL","3","p","3p",0.0714486556389408,-1,"LUSC"
"25930","3p21.2",0.191886199191494,0.0122175050419607,0.990257056513086,"con","ALL","3","p","3p",0.00255997765651244,-1,"LUSC"
"25931","3p21.1",5.40587300667654,0.346744245152445,0.728932324727366,"con","ALL","3","p","3p",0.0557558222751655,-1,"LUSC"
"25932","3p14.3",7.33417192041919,0.484683434865236,0.628117506073234,"con","ALL","3","p","3p",0.0823754826774309,-1,"LUSC"
"25933","3p14.2",7.43617956336829,0.487453881087518,0.626154724432164,"con","ALL","3","p","3p",0.0823754826774309,-1,"LUSC"
"25934","3p14.1",5.77959613629708,0.376887440141065,0.706420414104042,"con","ALL","3","p","3p",0.0615055565981181,-1,"LUSC"
"25935","3p13",0.235093222066141,0.0157455021492056,0.987443834918504,"con","ALL","3","p","3p",0.00278507162992627,-1,"LUSC"
"25936","3p12.3",-2.80001288165773,-0.196117316575263,0.844599649124255,"con","ALL","3","p","3p",-0.0285484723858865,-1,"LUSC"
"25937","3p12.2",-7.28195814832755,-0.653431770090952,0.513784458084622,"con","ALL","3","p","3p",-0.110519059804244,-1,"LUSC"
"25938","3p12.1",-1.19460375656183,-0.127923167599924,0.898262259356644,"con","ALL","3","p","3p",-0.0216464618585028,-1,"LUSC"
"25939","3p11.2",3.56865942921129,0.433288054234986,0.664996186563426,"con","ALL","3","p","3p",0.0714486556389408,-1,"LUSC"
"25940","3p11.1",6.51036966961206,0.772011911723717,0.440479541214575,"con","ALL","3","p","3p",0.138891499750385,-1,"LUSC"
"25941","3q11.1",1.66982341705153,0.244961281597006,0.806588962775769,"con","ALL","3","q","3q",0.0347522195279765,1,"LUSC"
"25942","3q11.2",3.5373216807511,0.413951606864174,0.67909067596343,"con","ALL","3","q","3q",0.0687886064537517,1,"LUSC"
"25943","3q12.1",7.01057619427963,0.792092097456749,0.428690270815195,"con","ALL","3","q","3q",0.138891499750385,1,"LUSC"
"25944","3q12.2",6.71595022934257,0.766791213637297,0.443574933613601,"con","ALL","3","q","3q",0.137779454096115,1,"LUSC"
"25945","3q12.3",7.9804259230073,0.894244249835477,0.371630239909526,"con","ALL","3","q","3q",0.16423124612233,1,"LUSC"
"25946","3q13.11",5.23677477480872,0.57347837085557,0.566583941562009,"con","ALL","3","q","3q",0.0918222404279433,1,"LUSC"
"25947","3q13.12",3.87136355063763,0.446681927570592,0.65530208103304,"con","ALL","3","q","3q",0.0731034283981507,1,"LUSC"
"25948","3q13.13",3.78360343143299,0.428660046284543,0.668359017068696,"con","ALL","3","q","3q",0.0714486556389408,1,"LUSC"
"25949","3q13.2",6.93259907518199,0.776445853276699,0.43786040715473,"con","ALL","3","q","3q",0.138891499750385,1,"LUSC"
"25950","3q13.31",7.60427222919226,0.82610927097072,0.409144159197092,"con","ALL","3","q","3q",0.143601288016165,1,"LUSC"
"25951","3q13.32",3.16032213202496,0.344627937707359,0.730521963817066,"con","ALL","3","q","3q",0.0557558222751655,1,"LUSC"
"25952","3q13.33",3.06085531534877,0.329598197723056,0.741844431285497,"con","ALL","3","q","3q",0.0545818110927728,1,"LUSC"
"25953","3q21.1",0.695617692306694,0.0736439313772293,0.941323766351421,"con","ALL","3","q","3q",0.0120205370799957,1,"LUSC"
"25954","3q21.2",0.854413235952631,0.0913171771861462,0.927277887775447,"con","ALL","3","q","3q",0.0152697739476748,1,"LUSC"
"25955","3q21.3",1.75641518885064,0.185669356627801,0.852780892609498,"con","ALL","3","q","3q",0.0261503573167602,1,"LUSC"
"25956","3q22.1",1.46270520019452,0.155464834551731,0.876518896421423,"con","ALL","3","q","3q",0.0248052727965961,1,"LUSC"
"25957","3q22.2",2.05771924233512,0.226865550178084,0.820622904981606,"con","ALL","3","q","3q",0.0340940494219628,1,"LUSC"
"25958","3q22.3",1.96051503796563,0.217625115363785,0.827811806282352,"con","ALL","3","q","3q",0.0340098357001614,1,"LUSC"
"25959","3q23",-4.16809045265916,-0.481864279031892,0.630117508567876,"con","ALL","3","q","3q",-0.0817038855394416,1,"LUSC"
"25960","3q24",-10.6722319083696,-1.27148891715483,0.204157956889883,"con","ALL","3","q","3q",-0.300894545282741,1,"LUSC"
"25961","3q25.1",-10.366984189108,-1.31069314253693,0.190575428514699,"con","ALL","3","q","3q",-0.317388736284453,1,"LUSC"
"25962","3q25.2",-15.4157728289666,-1.94003280364814,0.0529491016735265,"con","ALL","3","q","3q",-0.617759325599204,1,"LUSC"
"25963","3q25.31",-15.3656062348437,-1.94725997580739,0.0520744453869341,"con","ALL","3","q","3q",-0.620078353641675,1,"LUSC"
"25964","3q25.32",-17.6506864452762,-2.25810307128672,0.0243783452407969,"con","ALL","3","q","3q",-0.763565586394248,1,"LUSC"
"25965","3q25.33",-18.7892934402134,-2.40813519443327,0.0164025993211184,"con","ALL","3","q","3q",-0.874387476612593,1,"LUSC"
"25966","3q26.1",-26.7294300102334,-3.45070322170555,0.000607452117456793,"con","ALL","3","q","3q",-1.81530288625082,1,"LUSC"
"25967","3q26.2",-26.8056634571191,-4.14600211204209,3.98710066124343e-05,"con","ALL","3","q","3q",-2.74828026298302,1,"LUSC"
"25968","3q26.31",-26.8225873726587,-4.17116310635972,3.58481312510613e-05,"con","ALL","3","q","3q",-2.76964735857928,1,"LUSC"
"25969","3q26.32",-20.9524416022105,-3.34184902043789,0.000895840510304298,"con","ALL","3","q","3q",-1.6931655926096,1,"LUSC"
"25970","3q26.33",-19.8155366141536,-3.20417441995039,0.00144276891141072,"con","ALL","3","q","3q",-1.55771747296439,1,"LUSC"
"25971","3q27.1",-20.0017590193353,-3.33426006575889,0.000920081035168829,"con","ALL","3","q","3q",-1.6931655926096,1,"LUSC"
